Nodes;Addjested Nodes
392979284;{392979237,392979290,}
392979290;{392979284,392979281,}
392979291;{1371864165,}
392979293;{1820299970,1352808340,611278670,}
392979296;{392979297,392978778,}
392979297;{392979279,392979296,}
392979302;{392979267,392979279,}
392979306;{392979309,392979267,}
392979309;{1295703844,392979311,392979306,}
392979311;{1295703947,392979317,392979309,}
392979317;{1295703900,392979311,}
392979318;{392990071,392978254,5406001164,}
392979322;{392979325,392979323,}
392979323;{392979322,392979328,}
392979324;{2536003196,392979325,3023198363,}
392979325;{392979324,392979322,}
392979328;{392979323,392979329,}
392979329;{392979328,392979387,}
392979357;{2670209840,1283777418,1300930003,}
392979358;{2917019299,4324757894,2917020024,}
392979367;{1418901191,536808410,}
392979370;{392979372,1418901191,}
392979372;{392979373,392979370,}
392979373;{392979375,392979372,}
392979375;{392979377,392979373,}
392979377;{392979378,392979375,}
392979378;{392979380,392979377,}
392979380;{392979381,392979378,}
392979381;{1418901192,392979380,}
392979382;{536808414,1418901192,}
392979386;{392979387,2917020016,}
392979387;{392979329,2917020030,392979386,}
392979388;{392979089,2917020006,2917020016,}
392979390;{392979392,}
392979391;{392979392,392979394,}
392979392;{392979390,392979391,}
392979393;{392979394,392979396,}
392979394;{392979391,392979393,}
392979395;{392979396,1418901200,}
392979396;{392979393,392979395,}
392979460;{1735983151,}
392979461;{2654219291,}
392979462;{1735983101,2654219291,}
392979465;{1168465101,1720973847,1293805386,}
392979467;{392979468,1418901196,}
392979468;{392979469,392979467,}
392979469;{392979468,}
392979470;{392979471,1735983101,}
392979471;{392979533,392979470,}
392979474;{4329009268,1292570047,2917020008,}
392979482;{1418901186,}
392979484;{2666688965,4329009270,}
392979489;{1735729998,1735983148,1735729931,}
392979491;{4331379743,4329009280,4329009395,2917020004,}
392979505;{2666688969,3088878354,4330041725,}
392979507;{1733383156,1292570023,2141598035,}
392979508;{4252245766,2917020052,4530203754,}
392979513;{2141598020,2917020006,}
392979514;{1721429252,2709076466,1721429251,}
392979518;{1720973700,1720973654,1720973783,1720973769,}
392979520;{1721429265,1721429264,1292570007,}
392979522;{3993638755,2670260379,1292569998,}
392979523;{1735729883,1291918011,}
392979526;{1746665113,1290610791,}
392979533;{392979534,392979471,}
392979534;{392979535,392979533,}
392979535;{392979536,392979534,}
392979536;{392979535,2916924469,1418901173,}
392979538;{1418901176,2916924469,1698139633,1418901177,}
392979542;{392979544,1418901177,}
392979543;{1418901176,393976416,1735983096,}
392979544;{392979542,2916924469,}
392979547;{392979548,}
392979548;{1737427062,392979547,1737427028,}
392979555;{2881605336,2917020077,1735729895,1735729877,}
392979556;{1735729874,}
392979567;{1746665070,1746665068,1239956184,3993638756,}
392979568;{1256703442,392978276,1290610806,}
392979570;{2881605331,365583845,1831948002,2881605329,}
392979584;{392979960,392979958,1783547234,}
392979592;{4034451693,1783547112,}
392979598;{392979603,1743494138,392979976,}
392979603;{392979598,392979833,}
392979609;{4034451697,370927460,}
392979614;{1744195413,1744195427,}
392979617;{392979620,1743494126,1744195224,}
